團型名稱,團號,價錢,出發日期,回國日期,剩餘空位,坐位總數,出發航空,出發時間,出發機場,抵達時間,抵達機場,回國航空,出發時間,出發機場,抵達時間,抵達機場,網址
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX705CIA-T,"$36,900",2018/07/05(四),2018/07/09(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX705CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX713CIA-T,"$36,900",2018/07/13(五),2018/07/17(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX713CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX719CIA-T,"$35,900",2018/07/19(四),2018/07/23(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX719CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX720CIA-T,"$35,900",2018/07/20(五),2018/07/24(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX720CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX726CIA-T,"$35,900",2018/07/26(四),2018/07/30(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX726CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX727CIA-T,"$35,900",2018/07/27(五),2018/07/31(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX727CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX802CIA-T,"$35,900",2018/08/02(四),2018/08/06(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX802CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX803CIA-T,"$35,900",2018/08/03(五),2018/08/07(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX803CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX809CIA-T,"$35,900",2018/08/09(四),2018/08/13(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX809CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX816CIA-T,"$35,900",2018/08/16(四),2018/08/20(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX816CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX817CIA-T,"$35,900",2018/08/17(五),2018/08/21(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX817CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX823CIA-T,"$35,900",2018/08/23(四),2018/08/27(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX823CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX824CIA-T,"$35,900",2018/08/24(五),2018/08/28(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX824CIA-T
"""【雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.北野異人館.神戶浪漫夜景五日""",團號:18JX830ITA-T,"$27,900",2018/08/30(四),2018/09/03(一) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,14:00,大阪關西機場,16:00,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=577ba66e-0a58-4ed1-93a5-0b52e7ad8a2d&GroupID=18JX830ITA-T
"""【雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.北野異人館.神戶浪漫夜景五日""",團號:18JX831ITA-T,"$27,900",2018/08/31(五),2018/09/04(二) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,11:15,大阪關西機場,13:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=577ba66e-0a58-4ed1-93a5-0b52e7ad8a2d&GroupID=18JX831ITA-T
"""【岡山四國魅力遊】小豆島橄欖公園～寒霞溪纜車.大步危遊覽船.倉敷美觀.金刀比羅宮.DIY烏龍麵.道後溫泉五日(岡山)""",團號:18JY705ITJ-T,"$32,900",2018/07/05(四),2018/07/09(一) 抵達台灣,25,26,台灣虎航,11:30,桃園機場,15:05,岡山機場,台灣虎航,17:25,岡山機場,19:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=06200055-fa35-4525-9671-f96336f16027&GroupID=18JY705ITJ-T
"""【岡山四國魅力遊】小豆島橄欖公園～寒霞溪纜車.大步危遊覽船.倉敷美觀.金刀比羅宮.DIY烏龍麵.道後溫泉五日(岡山)""",團號:18JY719ITJ-T,"$30,900",2018/07/19(四),2018/07/23(一) 抵達台灣,25,26,台灣虎航,11:30,桃園機場,15:05,岡山機場,台灣虎航,17:25,岡山機場,19:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=06200055-fa35-4525-9671-f96336f16027&GroupID=18JY719ITJ-T
"""【岡山四國魅力遊】小豆島橄欖公園～寒霞溪纜車.大步危遊覽船.倉敷美觀.金刀比羅宮.DIY烏龍麵.道後溫泉五日(岡山)""",團號:18JY726ITJ-T,"$30,900",2018/07/26(四),2018/07/30(一) 抵達台灣,25,26,台灣虎航,11:30,桃園機場,15:05,岡山機場,台灣虎航,17:25,岡山機場,19:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=06200055-fa35-4525-9671-f96336f16027&GroupID=18JY726ITJ-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX719ITA-T,"$29,900",2018/07/19(四),2018/07/23(一) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,14:00,大阪關西機場,16:00,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX719ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX720ITA-T,"$29,900",2018/07/20(五),2018/07/24(二) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,11:15,大阪關西機場,13:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX720ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX726ITA-T,"$29,900",2018/07/26(四),2018/07/30(一) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,14:00,大阪關西機場,16:00,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX726ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX727ITA-T,"$29,900",2018/07/27(五),2018/07/31(二) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,11:15,大阪關西機場,13:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX727ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX802ITA-T,"$29,900",2018/08/02(四),2018/08/06(一) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,14:00,大阪關西機場,16:00,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX802ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX803ITA-T,"$29,900",2018/08/03(五),2018/08/07(二) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,11:15,大阪關西機場,13:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX803ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX809ITA-T,"$29,900",2018/08/09(四),2018/08/13(一) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,14:00,大阪關西機場,16:00,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX809ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX816ITA-T,"$31,900",2018/08/16(四),2018/08/20(一) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,14:00,大阪關西機場,16:00,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX816ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX817ITA-T,"$29,900",2018/08/17(五),2018/08/21(二) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,11:15,大阪關西機場,13:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX817ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX823ITA-T,"$29,900",2018/08/23(四),2018/08/27(一) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,14:00,大阪關西機場,16:00,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX823ITA-T
"""【暑假雙雄揪麻吉】不走樂園～關西四都京阪神奈.伏見稻荷大社.奈良梅花鹿公園.琵琶湖遊船.日清泡麵紀念館.神戶浪漫夜景五日""",團號:18JX824ITA-T,"$29,900",2018/08/24(五),2018/08/28(二) 抵達台灣,25,26,台灣虎航,06:40,桃園機場,10:25,大阪關西機場,台灣虎航,11:15,大阪關西機場,13:10,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=3d5e8566-ef9b-4c41-8bed-d1ce96330090&GroupID=18JX824ITA-T
